################ 159.65.134.117 ##########################
Start: 2021-06-25T12:05:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  6.|-- 10gigabitethernet5-1.core  0.0%     5   29.1  29.2  29.1  29.3   0.0
  7.|-- west-indian-ocean-cable-c  0.0%     5   26.7  26.4  26.2  26.7   0.2
  8.|-- 154.66.247.99              0.0%     5  184.4 184.5 184.3 184.7   0.2
  9.|-- 154.66.247.149             0.0%     5  166.2 166.2 165.9 167.1   0.5
 10.|-- 154.66.247.216             0.0%     5  184.0 184.1 184.0 184.4   0.1
 11.|-- 196.250.239.175            0.0%     5  184.3 184.2 184.1 184.3   0.1
 12.|-- 154.127.57.150             0.0%     5  184.1 184.2 184.1 184.4   0.1
################ 207.154.225.180 ##########################
Start: 2021-06-25T12:07:02+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.7   0.3   2.1   0.8
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   23.0  23.0  22.7  23.8   0.5
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   28.7  33.0  21.6  42.6   9.2
  6.|-- 138.197.244.68             0.0%     5   24.8  24.9  24.8  25.0   0.1
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 207.154.225.180            0.0%     5   25.1  25.2  25.1  25.5   0.2
################ 46.101.216.170 ##########################
Start: 2021-06-25T12:07:13+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5  18.5   0.5  63.0  27.5
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.3   0.2   0.5   0.1
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   1.4   0.3   5.6   2.3
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   23.0  23.1  22.7  23.9   0.5
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   21.9  22.0  21.8  22.1   0.1
  6.|-- 138.197.244.86             0.0%     5   29.2  29.4  29.2  29.6   0.1
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 46.101.216.170             0.0%     5   29.3  29.4  29.3  29.6   0.1
################ 207.154.196.19 ##########################
Start: 2021-06-25T12:07:23+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.6   0.2   1.5   0.6
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   1.2   0.3   3.5   1.4
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   24.2  23.8  22.7  25.4   1.1
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   21.6  22.2  21.6  24.4   1.2
  6.|-- 138.197.244.86             0.0%     5   66.5  39.0  29.2  66.5  16.1
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 207.154.196.19             0.0%     5   29.5  29.5  29.3  29.6   0.1
################ 46.101.160.8 ##########################
Start: 2021-06-25T12:07:34+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   2.9   0.3  13.1   5.7
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.8  22.8  22.7  22.9   0.1
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   21.4  21.7  21.4  22.6   0.5
  6.|-- 138.197.244.68             0.0%     5   24.9  28.3  24.6  38.2   5.7
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 46.101.160.8               0.0%     5   23.2  23.2  23.1  23.3   0.0
################ 167.172.166.202 ##########################
Start: 2021-06-25T12:07:44+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.7   0.5   1.2   0.3
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.5   0.2   1.2   0.4
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   1.0   0.3   3.8   1.6
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.8  22.8  22.7  22.9   0.0
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   21.5  21.5  21.4  21.6   0.1
  6.|-- 138.197.244.68             0.0%     5   27.6  25.3  24.6  27.6   1.3
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 167.172.166.202            0.0%     5   23.3  23.4  23.3  23.7   0.2
################ 68.183.193.231 ##########################
Start: 2021-06-25T12:07:54+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.4   0.6   0.4   0.7   0.1
  4.|-- s-bb2-link.ip.twelve99.ne  0.0%     5   96.0  96.2  96.0  96.5   0.2
  5.|-- kbn-bb2-link.ip.twelve99.  0.0%     5   99.5  98.5  96.9  99.5   1.0
  6.|-- nyk-bb2-link.ip.twelve99.  0.0%     5   85.2  85.2  85.1  85.4   0.1
  7.|-- toro-b2-link.ip.twelve99.  0.0%     5   95.8  95.8  95.8  96.0   0.1
  8.|-- toro-b3-link.ip.twelve99.  0.0%     5   96.1  96.0  95.7  96.6   0.4
