################ 159.65.134.117 ##########################
Start: 2021-06-25T12:05:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
 11.|-- 37.120.199.150             0.0%     5   56.9  56.9  56.8  57.1   0.1
################ 177.54.148.22 ##########################
Start: 2021-06-25T12:14:48+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   9.2   0.4  44.2  19.6
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.2   0.2   0.3   0.0
  3.|-- te0-6-0-7.rcr21.b015775-1  0.0%     5    0.7   0.7   0.6   0.9   0.1
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.4   1.4   1.3   1.6   0.1
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   10.9  11.0  10.8  11.2   0.2
  6.|-- be2504.ccr42.ham01.atlas.  0.0%     5   16.0  16.1  16.0  16.4   0.2
  7.|-- be2816.ccr42.ams03.atlas.  0.0%     5   24.0  37.5  23.8  66.0  19.4
  8.|-- be12266.ccr42.par01.atlas  0.0%     5  109.7 109.7 109.6 109.8   0.1
  9.|-- be2318.ccr32.bio02.atlas.  0.0%     5  282.1 145.5 111.3 282.1  76.4
 10.|-- be2332.ccr42.dca01.atlas.  0.0%     5  111.3 111.2 111.2 111.3   0.0
 11.|-- be2113.ccr42.atl01.atlas.  0.0%     5  122.2 122.3 122.1 122.4   0.1
 12.|-- be3483.ccr22.mia01.atlas.  0.0%     5  133.7 133.6 133.5 133.7   0.1
 13.|-- be3401.ccr21.mia03.atlas.  0.0%     5  135.7 135.7 135.7 135.8   0.0
 14.|-- 38.142.154.82              0.0%     5  149.0 136.4 133.3 149.0   7.0
 15.|-- 10.255.0.226               0.0%     5  228.9 232.4 228.7 246.9   8.1
################ 138.68.106.122 ##########################
Start: 2021-06-25T12:14:59+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   1.7   0.3   7.4   3.1
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.7  22.8  22.7  23.1   0.1
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   21.4  21.5  21.4  21.5   0.1
  6.|-- 138.197.244.68             0.0%     5   24.8  24.7  24.6  24.9   0.1
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 138.68.106.122             0.0%     5   23.2  23.3  23.2  23.5   0.1
################ 46.101.6.237 ##########################
Start: 2021-06-25T12:15:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.8   0.5   0.4   0.8   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    2.3   0.7   0.3   2.3   0.9
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.6   0.4   0.3   0.6   0.1
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   24.2  24.5  22.8  28.9   2.5
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   21.7  21.5  21.4  21.7   0.1
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 46.101.6.237               0.0%     5   31.5  31.6  31.5  31.9   0.2
################ 139.59.58.226 ##########################
Start: 2021-06-25T12:15:21+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   1.1   0.5   3.5   1.3
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.2   0.2   0.3   0.0
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    0.5   0.6   0.5   0.7   0.1
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.4   1.4   1.4   1.5   0.0
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   10.8  10.9  10.8  11.0   0.1
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.2  16.2  16.2  16.3   0.1
  7.|-- be2815.ccr41.ams03.atlas.  0.0%     5   24.0  24.0  23.7  24.3   0.2
  8.|-- be12265.ccr41.par01.atlas  0.0%     5   32.3  32.3  32.1  32.5   0.1
  9.|-- be3092.ccr21.mrs01.atlas.  0.0%     5   43.0  43.0  42.9  43.3   0.2
 10.|-- bharti.demarc.cogentco.co  0.0%     5   54.0  50.7  38.7  60.2   9.7
 11.|-- 182.79.152.114             0.0%     5  165.4 168.8 165.4 182.0   7.4
 12.|-- 202.56.198.30              0.0%     5  159.0 159.2 159.0 159.7   0.3
 13.|-- 138.197.249.19             0.0%     5  166.0 166.1 166.0 166.3   0.2
 14.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 15.|-- 139.59.58.226              0.0%     5  166.7 166.8 166.6 167.0   0.2
################ 103.43.75.188 ##########################
Start: 2021-06-25T12:15:32+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5   78.1  34.8   0.5  78.1  31.5
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.2   0.2   0.3   0.0
  3.|-- te0-6-0-10.rcr21.b015775-  0.0%     5    0.7   0.7   0.5   0.9   0.2
  4.|-- be2759.ccr21.sto03.atlas.  0.0%     5    1.7   1.5   1.4   1.7   0.1
  5.|-- be2555.rcr21.cph01.atlas.  0.0%     5   11.1  11.1  10.8  11.3   0.2
  6.|-- be2496.ccr41.ham01.atlas.  0.0%     5   16.1  16.1  15.9  16.3   0.2
  7.|-- be2797.ccr41.fra03.atlas.  0.0%     5   24.5  24.5  24.5  24.6   0.0
  8.|-- be3186.agr41.fra03.atlas.  0.0%     5   24.6  24.7  24.5  25.0   0.2
  9.|-- pccw.fra03.atlas.cogentco  0.0%     5   26.0  25.3  24.6  26.4   0.9
 10.|-- TenGE0-0-0-0.clbr01.sin02  0.0%     5  176.8 177.1 176.8 178.2   0.6
 11.|-- TenGE0-0-0-0.clbr01.sin02  0.0%     5  178.1 177.2 176.6 178.1   0.7
 12.|-- 63-216-147-142.static.pcc  0.0%     5  276.6 275.6 275.1 276.6   0.6
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 155.138.149.235 ##########################
Start: 2021-06-25T12:15:44+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4  17.4   0.4  84.9  37.8
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.3   0.2   0.4   0.0
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.5   0.6   0.5   0.8   0.2
  4.|-- s-bb2-link.ip.twelve99.ne 20.0%     5   95.7  96.0  95.7  96.2   0.2
  5.|-- kbn-bb2-link.ip.twelve99.  0.0%     5  108.9 102.6  97.3 108.9   5.8
  6.|-- nyk-bb2-link.ip.twelve99.  0.0%     5   85.8  85.8  85.6  86.1   0.2
  7.|-- toro-b2-link.ip.twelve99.  0.0%     5   95.8  96.3  95.8  98.2   1.1
  8.|-- toro-b3-link.ip.twelve99.  0.0%     5   95.8  95.7  95.6  95.8   0.1
  9.|-- choopa-ic340498-toro-b3.i  0.0%     5   96.1  96.2  96.0  96.5   0.2
 10.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- 155.138.149.235.vultr.com  0.0%     5  106.2 106.3 106.2 106.7   0.2
################ 45.9.250.194 ##########################
Start: 2021-06-25T12:15:56+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5  13.5   0.4  65.5  29.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.3   0.2   0.3   0.0
  3.|-- xe-2-2-1-0.bb1.cph1.dk.m2  0.0%     5   11.7  10.9  10.5  11.7   0.6
  4.|-- xe-1-3-2-0.core1.fra2.de.  0.0%     5   29.4  29.7  29.4  30.5   0.5
  5.|-- 37.120.128.249             0.0%     5   38.2  38.1  38.0  38.2   0.1
  6.|-- 37.120.128.129             0.0%     5   38.0  38.1  38.0  38.1   0.1
  7.|-- 89.44.212.141              0.0%     5   37.7  37.8  37.7  37.8   0.0
  8.|-- 37.120.220.113             0.0%     5  147.1 147.2 147.1 147.3   0.1
  9.|-- 83.97.21.131               0.0%     5  164.1 186.9 164.1 257.4  39.6
 10.|-- 193.27.15.221              0.0%     5  147.4 147.4 147.3 147.4   0.1
 11.|-- 45.9.250.194               0.0%     5  147.2 147.2 147.2 147.4   0.1
################ 140.82.28.189 ##########################
Start: 2021-06-25T12:16:18+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.8   0.5   0.3   1.1   0.4
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.6   0.6   0.6   0.7   0.0
  4.|-- ae-2-52.ear1.Miami1.Level 60.0%     5  127.1 127.1 127.1 127.1   0.0
  5.|-- CHOOPA-LLC.ear1.Miami1.Le  0.0%     5  127.7 127.8 127.7 128.1   0.2
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 140.82.28.189.vultr.com    0.0%     5  127.6 127.6 127.6 127.7   0.1
################ 206.81.27.255 ##########################
Start: 2021-06-25T12:16:29+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    5.3   4.1   0.4   7.7   3.4
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.3   0.3   0.3   0.0
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.9  24.0  22.8  28.4   2.5
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   21.7  21.7  21.7  21.9   0.1
  6.|-- 138.197.244.68             0.0%     5   24.9  27.4  24.9  34.5   4.1
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 206.81.27.255              0.0%     5   24.9  25.0  24.9  25.4   0.2
################ 46.101.233.246 ##########################
Start: 2021-06-25T12:16:40+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.6   0.3   1.7   0.6
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    2.1   1.6   0.3   4.7   1.9
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   25.8  23.7  22.8  25.8   1.3
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   21.4  21.5  21.4  21.7   0.1
  6.|-- 138.197.244.86             0.0%     5   31.5  29.6  29.0  31.5   1.1
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 46.101.233.246             0.0%     5   30.7  30.7  30.6  31.0   0.1
################ 164.90.163.104 ##########################
Start: 2021-06-25T12:16:51+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.4   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.2   0.2   0.3   0.0
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.3   0.3   0.4   0.0
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.8  22.7  22.7  22.8   0.0
  5.|-- ae40.ams3-edge2.digitaloc  0.0%     5   21.4  21.9  21.4  24.0   1.2
  6.|-- 138.197.244.68             0.0%     5   24.6  24.8  24.6  25.4   0.4
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 164.90.163.104             0.0%     5   23.2  23.3  23.1  23.6   0.2
################ 46.101.180.139 ##########################
Start: 2021-06-25T12:17:01+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.7   0.4   1.7   0.5
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.8   0.6   0.2   1.1   0.4
  3.|-- ae17-100.stkm6nqp7.se.ip.  0.0%     5    0.3   0.5   0.3   1.2   0.4
  4.|-- ae7-0.asd3nqp1.nl.ip.tdc.  0.0%     5   22.7  22.8  22.7  22.9   0.1
  5.|-- ae40.ams3-edge1.digitaloc  0.0%     5   21.6  21.6  21.5  21.7   0.1
  6.|-- 138.197.244.86             0.0%     5   29.1  29.1  29.0  29.2   0.1
  7.|-- 138.197.250.142            0.0%     5   29.7  32.1  29.5  42.3   5.7
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 46.101.180.139             0.0%     5   29.2  29.3  29.1  29.7   0.2
################ 66.203.112.36 ##########################
Start: 2021-06-25T12:17:12+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6  16.5   0.5  80.0  35.5
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.3   0.2   0.5   0.1
  3.|-- 10gigabitethernet1-3.core  0.0%     5    0.6   0.7   0.6   0.8   0.1
  4.|-- 100ge0-35.core2.cph1.he.n  0.0%     5   10.1   9.5   8.4  10.9   1.0
  5.|-- 100ge0-35.core1.ewr5.he.n  0.0%     5   93.6  93.8  93.6  94.3   0.3
  6.|-- v2001.core2.ash1.he.net    0.0%     5   98.2  98.2  98.2  98.3   0.1
  7.|-- 100ge1-2.core1.ash1.he.ne  0.0%     5   97.9 102.3  97.9 119.1   9.4
  8.|-- 100ge2-1.core1.lax1.he.ne  0.0%     5  151.2 151.4 151.1 152.0   0.4
  9.|-- 100ge14-1.core1.lax2.he.n  0.0%     5  151.1 151.4 151.1 151.7   0.2
 10.|-- vocus.10gigabitethernet5- 40.0%     5  145.0 145.2 145.0 145.3   0.1
 11.|-- be101.bdr04.sjc01.ca.us.v 40.0%     5  308.8 308.7 308.6 308.8   0.1
 12.|-- be203.cor01.syd11.nsw.voc  0.0%     5  309.2 309.3 309.1 309.5   0.2
 13.|-- be101.bdr01.syd01.nsw.voc  0.0%     5  310.0 309.8 309.6 310.0   0.1
 14.|-- static-150.120.37.103.in-  0.0%     5  288.5 288.5 288.4 288.6   0.1
 15.|-- 10.10.0.2                  0.0%     5  288.4 288.4 288.3 288.5   0.1
################ 45.87.213.182 ##########################
Start: 2021-06-25T12:17:29+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.4   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- 37.120.220.17              0.0%     5   10.3  10.3  10.2  10.4   0.1
  4.|-- te-3-14-0.bb1.nyc1.us.m24  0.0%     5   26.3  26.5  26.2  27.4   0.5
  5.|-- 89.44.212.120              0.0%     5   31.2  31.3  31.2  31.3   0.0
  6.|-- gr-1-1-0-0.bb1.tyo1.jp.m2  0.0%     5  272.1 272.2 271.0 274.0   1.3
  7.|-- xe-1-0-36-0.agg1v.par1.fr  0.0%     5  283.4 286.0 279.7 290.5   4.6
  8.|-- 193.27.15.145              0.0%     5  271.5 271.4 271.4 271.5   0.0
  9.|-- 45.87.213.182              0.0%     5  271.0 271.1 271.0 271.3   0.1
################ 149.28.86.237 ##########################
Start: 2021-06-25T12:17:41+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   1.0   0.5   2.9   1.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    2.4   0.7   0.3   2.4   0.9
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.8   0.7   0.5   0.8   0.1
  4.|-- s-bb2-link.ip.twelve99.ne  0.0%     5  144.5 144.4 144.3 144.5   0.1
  5.|-- kbn-bb2-link.ip.twelve99.  0.0%     5  149.9 147.2 145.9 149.9   1.7
  6.|-- nyk-bb2-link.ip.twelve99.  0.0%     5   85.6  85.6  85.5  85.8   0.1
  7.|-- ash-bb2-link.ip.twelve99. 60.0%     5   90.2  90.3  90.2  90.4   0.1
  8.|-- las-b4-link.ip.twelve99.n  0.0%     5  146.9 146.6 146.0 148.0   0.9
  9.|-- las-b4-link.ip.twelve99.n  0.0%     5  146.0 146.1 146.0 146.3   0.1
 10.|-- vultr-ic318444-las-b4.ip.  0.0%     5  146.5 147.3 146.5 150.2   1.6
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 149.28.86.237.vultr.com    0.0%     5  146.1 146.2 146.1 146.2   0.0
################ 45.63.110.239 ##########################
Start: 2021-06-25T12:17:54+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    3.3   1.1   0.4   3.3   1.2
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.4   0.4   0.3   0.7   0.2
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.7   0.7   0.0
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- CHOOPA-LLC.ear1.Miami1.Le  0.0%     5  127.8 129.6 127.8 136.0   3.6
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 45.63.110.239.vultr.com    0.0%     5  127.6 127.6 127.6 127.7   0.1
################ 207.246.100.119 ##########################
Start: 2021-06-25T12:18:05+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.7   0.5   1.3   0.4
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.2   0.2   0.3   0.0
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.6   0.7   0.0
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- CHOOPA-LLC.ear1.LosAngele  0.0%     5  151.6 152.4 151.6 155.3   1.6
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 10.|-- 207.246.100.119.vultr.com  0.0%     5  151.2 151.2 151.2 151.3   0.0
################ 66.42.103.107 ##########################
Start: 2021-06-25T12:18:16+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    4.1   1.2   0.4   4.1   1.6
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   0.3   0.2   0.5   0.1
  3.|-- s-b3-link.ip.twelve99.net  0.0%     5    0.8   0.6   0.5   0.8   0.1
  4.|-- s-bb2-link.ip.twelve99.ne  0.0%     5  144.5 144.7 144.5 144.9   0.2
  5.|-- kbn-bb2-link.ip.twelve99.  0.0%     5  146.6 146.9 145.6 150.6   2.1
  6.|-- nyk-bb2-link.ip.twelve99.  0.0%     5   85.8  85.8  85.7  86.0   0.1
  7.|-- ash-bb2-link.ip.twelve99. 40.0%     5   89.9  90.0  89.9  90.1   0.1
  8.|-- las-b4-link.ip.twelve99.n  0.0%     5  143.8 146.8 143.8 158.2   6.4
  9.|-- las-b4-link.ip.twelve99.n  0.0%     5  149.7 145.1 143.9 149.7   2.6
 10.|-- vultr-ic318444-las-b4.ip.  0.0%     5  144.8 145.1 144.5 147.1   1.1
 11.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
 14.|-- 66.42.103.107.vultr.com    0.0%     5  144.1 144.1 144.0 144.1   0.1
################ 207.246.116.86 ##########################
Start: 2021-06-25T12:18:27+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.4   0.1
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.7   0.7   0.0
  4.|-- ae-2-52.ear1.Miami1.Level 40.0%     5  127.5 127.5 127.5 127.5   0.0
  5.|-- CHOOPA-LLC.ear1.Miami1.Le  0.0%     5  128.3 129.3 128.3 133.1   2.1
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 207.246.116.86.vultr.com   0.0%     5  128.4 127.9 127.7 128.4   0.3
################ 138.68.50.230 ##########################
Start: 2021-06-25T12:18:38+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.3   0.0
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.7   0.8   0.1
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- 4.14.33.70                 0.0%     5  165.7 165.7 165.7 165.7   0.0
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 138.68.50.230              0.0%     5  165.5 165.6 165.5 165.8   0.1
################ 198.199.112.207 ##########################
Start: 2021-06-25T12:18:48+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.5   0.2   1.6   0.6
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.7   0.7   0.0
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- 4.14.33.54                 0.0%     5  166.1 166.0 166.0 166.1   0.0
  6.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  7.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  8.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  9.|-- 198.199.112.207            0.0%     5  162.2 162.3 162.2 162.4   0.1
